Title,Date,Genre,Release_Year,Country,Runtime
Good Bad Ugly,05/11/25,"Action, Crime, Comedy",2025,IN,139
Tillu Square,05/08/25,"Romance, Comedy, Thriller, Crime",2024,IN,123
Dhoom Dhaam,29/04/25,"Comedy, Romance, Action",2025,IN,109
The Truman Show,29/04/25,"Comedy, Drama",1998,US,103
Perusu,27/04/25,Comedy,2025,IN,125
Jewel Thief - The Heist Begins,26/04/25,"Action, Thriller",2025,IN,118
Paddington in Peru,20/04/25,"Family, Comedy, Adventure",2024,"GB, FR, US, JP",106
Mr. & Mrs. Smith,19/04/25,"Action, Comedy, Drama, Thriller",2005,"CH, US",119
Superbad,19/04/25,Comedy,2007,US,113
The Deliverance,19/04/25,"Horror, Thriller",2024,US,112
Incantation,19/04/25,"Horror, Thriller",2021,US,80
The Conjuring,19/04/25,"Horror, Thriller",2013,US,112
Sinister,19/04/25,"Horror, Thriller, Mystery",2012,"CA, US",110
Lucky Baskhar,19/04/25,"Drama, Thriller, Crime",2024,IN,148
The Babadook,18/04/25,"Drama, Horror",2014,"AU, CA",94
M3GAN,18/04/25,"Science Fiction, Horror",2022,US,102
Pitch Perfect 2,17/04/25,"Comedy, Music",2015,US,115
Court: State vs A Nobody,17/04/25,"Drama, Romance, Crime",2025,IN,149
TEST,04/12/25,Drama,2018,US,106
Mad,04/11/25,"Comedy, Romance, Drama",2023,IN,124
Minnal Murali,04/06/25,"Action, Comedy, Fantasy",2021,IN,158
Rifle Club,04/05/25,"Action, Thriller",2024,IN,113
The Life List,04/02/25,"Romance, Comedy, Drama",2025,US,123
Pitch Perfect,04/01/25,"Comedy, Music, Romance",2012,US,112
Deva,31/03/25,Drama,2019,HU,76
Student of the Year,23/03/25,"Comedy, Drama, Romance",2012,IN,146
Love Today,23/03/25,,2004,,0
Nadaaniyan,23/03/25,"Romance, Comedy, Drama",2025,IN,119
Transformers: Rise of the Beasts,23/03/25,"Science Fiction, Adventure, Action",2023,US,127
Dragon,23/03/25,Fantasy,2006,US,84
Officer on Duty,20/03/25,"Crime, Thriller",2025,IN,134
The Electric State,16/03/25,"Science Fiction, Adventure, Action",2025,US,125
Divergent,16/03/25,"Action, Adventure, Science Fiction",2014,US,139
VidaaMuyarchi,03/08/25,"Action, Thriller, Drama",2025,IN,155
Daaku Maharaaj,25/02/25,Action,2025,IN,147
Kadhalikka Neramillai,25/02/25,"Romance, Drama, Comedy",2025,IN,143
The Imitation Game,23/02/25,"History, Drama, Thriller, War",2014,US,113
Anuja,02/10/25,Drama,2024,US,23
Ulajh,02/09/25,"Drama, Thriller",2024,IN,134
Sukhee,02/08/25,"Comedy, Drama",2023,"IN, US",139
Back in Action,02/05/25,"Action, Comedy",2025,US,114
White Chicks,02/03/25,"Comedy, Crime",2004,US,109
Amaran,31/01/25,"Action, Romance",1992,IN,135
Jawan: Extended Cut,20/01/25,"Action, Crime, Thriller",2023,IN,169
17 Again,18/01/25,"Comedy, Fantasy, Drama, Romance",2009,US,102
The Other Woman,18/01/25,"Drama, Comedy, Romance",2018,FR,84
The Wedding Ringer,18/01/25,Comedy,2015,US,101
Bhool Bhulaiyaa 3,16/01/25,"Horror, Comedy",2024,IN,158
Hidden Figures,16/01/25,"Drama, History",2016,US,127
Carry-On,19/12/24,"Thriller, Action",2024,US,120
The Batman,19/12/24,"Crime, Mystery, Thriller",2022,US,177
Thangalaan,13/12/24,"Adventure, Action, Fantasy, History",2024,IN,156
Nativity!,12/11/24,"Comedy, Family",2009,GB,105
The Princess Switch,12/11/24,"Romance, Comedy",2018,US,101
Last Christmas,12/11/24,"Comedy, Romance",2019,"GB, US",102
Fantastic Beasts: The Secrets of Dumbledore,12/09/24,"Fantasy, Adventure",2022,"GB, US",142
Jigra,12/08/24,"Crime, Drama, Thriller",2024,IN,155
Sikandar Ka Muqaddar,12/03/24,"Thriller, Crime, Mystery, Action",2024,IN,143
Bagheera,24/11/24,"Drama, Thriller",2023,IN,147
Baywatch,17/11/24,"Comedy, Action, Crime",2017,US,116
Do Patti,16/11/24,"Thriller, Mystery, Drama, Crime",2024,IN,128
Alita: Battle Angel,14/11/24,"Action, Science Fiction, Adventure",2019,US,122
Devara,11/08/24,"Action, Drama",2024,IN,175
Meiyazhagan,25/10/24,"Family, Drama",2024,IN,177
Khufiya,19/10/24,"Crime, Thriller, Mystery",2023,IN,158
Kondal,19/10/24,"Action, Drama",2024,IN,144
Jagame Thandhiram,15/10/24,"Crime, Drama",2021,"IN, GB",158
Miss Peregrine's Home for Peculiar Children,15/10/24,"Fantasy, Adventure, Drama, Family, Thriller",2016,US,127
Khel Khel Mein,15/10/24,"Comedy, Drama",2024,"IN, GB",135
GOAT - The Greatest of All Time,10/12/24,"Action, Drama, Thriller",2024,IN,183
Adios Amigo,10/11/24,Western,2024,CO,118
CTRL,10/09/24,"Horror, Science Fiction",2018,GB,80
Saripodhaa Sanivaaram,10/02/24,"Action, Thriller",2024,IN,172
Dear Friend,27/09/24,"Drama, Romance, Comedy, Mystery",2022,IN,117
Tag,20/09/24,"Comedy, Action",2018,US,100
Uglies,16/09/24,"Science Fiction, Adventure, Action",2024,US,100
Mr. Bachchan,16/09/24,"Action, Drama, Romance",2024,IN,160
Fatherhood,09/09/24,"Drama, Comedy",2021,"CA, US",109
Animal,09/08/24,"Action, Crime, Drama",2023,IN,201
Fantastic Beasts: The Crimes of Grindelwald,09/05/24,"Fantasy, Adventure",2018,"GB, US",134
Fantastic Beasts and Where To Find Them,09/05/24,"Fantasy, Adventure",2016,"GB, US",132
Harry Potter and the Philosopher's Stone,09/04/24,"Adventure, Fantasy",2001,"GB, US",152
Damsel,09/03/24,"Western, Drama, Comedy",2018,US,114
Buddy,09/02/24,"Comedy, Drama, Romance",2003,NO,104
Lucy,09/01/24,"Action, Science Fiction",2014,FR,89
Rush Hour,31/08/24,"Action, Comedy, Crime",1998,US,97
The Interview,31/08/24,"Action, Comedy",2014,US,113
Tu Jhoothi Main Makkaar,30/08/24,"Comedy, Romance, Family",2023,"IN, MU, ES",159
Ae Dil Hai Mushkil,30/08/24,"Romance, Drama",2016,IN,158
Mersal,30/08/24,"Thriller, Action, Crime",2017,IN,161
Beast (Tamil),29/08/24,"Action, Adventure, Thriller",2022,IN,155
How to Lose a Guy in 10 Days,29/08/24,"Comedy, Romance",2003,US,116
Student of the Year 2,29/08/24,"Romance, Comedy, Drama",2019,IN,146
Green Book,29/08/24,"Drama, History",2018,US,130
The Union,28/08/24,"Action, Comedy",2024,US,109
Don,16/08/24,"Family, Drama",2006,NL,90
12th Fail,15/08/24,Drama,2023,IN,146
Phir Aayi Hasseen Dillruba,15/08/24,"Mystery, Thriller, Romance",2024,IN,133
Takkar,14/08/24,"Action, Crime, Drama, Romance, Thriller",1995,IN,147
Kingsman: The Secret Service,14/08/24,"Crime, Comedy, Action, Adventure",2015,"GB, US",129
Indian 2,08/12/24,"Drama, Comedy",2015,"GB, US",122
Lift,08/06/24,"Action, Comedy, Crime",2024,US,107
In Time,08/04/24,"Action, Thriller, Science Fiction",2011,US,109
Mr. & Mrs. Mahi,08/04/24,"Drama, Romance",2024,IN,139
Ramabanam,08/04/24,"Action, Comedy",2023,IN,143
Fighter,08/04/24,Documentary,2025,,83
Green Lantern,08/01/24,"Adventure, Action, Thriller, Science Fiction",2011,US,114
The Devil Wears Prada,29/07/24,"Drama, Comedy",2006,US,109
Titanic,28/07/24,"Drama, Romance",1997,US,194
Leo (Tamil),24/07/24,"Action, Crime, Thriller",2023,IN,163
DSP,20/07/24,"Action, Drama",2022,IN,144
Kabhi Khushi Kabhie Gham,17/07/24,"Comedy, Drama",2001,"IN, GB",209
That's My Boy,17/07/24,"Comedy, Drama",2012,US,116
Zombieland,17/07/24,"Comedy, Horror",2009,US,88
Maharaja,14/07/24,"Adventure, Romance",1998,IN,150
Spider-Man: Into the Spider-Verse,07/09/24,"Animation, Action, Adventure, Science Fiction",2018,US,117
Percy Jackson: Sea of Monsters,07/07/24,"Adventure, Family, Fantasy",2013,US,106
Maze Runner: The Scorch Trials,27/06/24,"Science Fiction, Action, Thriller, Adventure",2015,US,131
The Maze Runner,26/06/24,"Action, Mystery, Science Fiction, Thriller",2014,"US, GB",113
Gangs of Godavari,22/06/24,"Action, Drama",2024,IN,143
Bade Miyan Chote Miyan,20/06/24,"Action, Science Fiction, Thriller",2024,IN,164
Hit Man,06/11/24,"Comedy, Romance, Crime",2024,US,116
Varane Avashyamund,06/07/24,"Comedy, Family, Romance",2020,IN,145
RDX,06/06/24,"Action, Drama",2023,IN,150
The Invitation,06/04/24,"Thriller, Horror",2016,US,100
Hey Sinamika,06/04/24,"Drama, Romance",2022,IN,149
Kaapa,06/04/24,"Crime, Action, Drama",2022,IN,133
Atlas,06/04/24,"Science Fiction, Action",2024,US,120
Dilwale,30/05/24,"Action, Drama, Romance",1994,IN,180
Crew,27/05/24,"Comedy, Drama",2024,IN,124
Chopsticks,27/05/24,"Comedy, Drama",2025,,0
Happy New Year,21/05/24,"Comedy, Crime, Drama, Romance",1973,"FR, IT",115
Thallumaala,21/05/24,"Comedy, Drama, Action",2022,IN,146
Jujutsu Kaisen 0: The Movie,15/05/24,"Animation, Action, Fantasy",2021,JP,105
Shaitaan,05/09/24,"Horror, Thriller",1974,,121
Laapataa Ladies,05/03/24,"Comedy, Drama, Romance",2024,IN,123
DeAr,05/03/24,,2018,JP,10
Suzume,26/04/24,"Animation, Drama, Adventure, Fantasy",2022,JP,121
Yeh Jawaani Hai Deewani,24/04/24,"Romance, Comedy",2013,IN,160
Por,04/01/24,Drama,2010,TH,22
Ford v. Ferrari,18/03/24,"Drama, Action, History",2019,US,153
Kuttavum Shikshayum,18/03/24,"Crime, Drama",2022,IN,136
Thundu,18/03/24,"Comedy, Drama",2024,IN,126
Anweshippin Kandethum,03/12/24,"Crime, Thriller, Drama",2024,IN,143
Avatar The Last Airbender: Aang,03/10/24,"Action, Adventure, Fantasy",2010,US,103
Dune,25/02/24,"Science Fiction, Adventure",2021,US,155
Harry Potter and the Goblet of Fire,24/02/24,"Adventure, Fantasy",2005,"GB, US",157
Kuch Kuch Hota Hai,24/02/24,"Romance, Drama, Comedy",1998,IN,185
Jab Harry Met Sejal,24/02/24,"Comedy, Drama, Romance",2017,IN,144
Harry Potter and the Prisoner of Azkaban,23/02/24,"Adventure, Fantasy",2004,"GB, US",141
Harry Potter and the Chamber of Secrets,20/02/24,"Adventure, Fantasy",2002,"GB, US, DE",161
Guntur Kaaram,13/02/24,"Action, Drama",2024,IN,156
Silent House,13/02/24,"Horror, Mystery, Drama",2011,"FR, US",85
The Old Ways,13/02/24,"Horror, Fantasy",2021,US,90
Halloween Kills,13/02/24,"Horror, Thriller",2021,US,105
Re/Member,13/02/24,"Horror, Thriller",2022,JP,103
Scary Movie,02/12/24,Comedy,2000,US,88
Hellhole,02/12/24,"Horror, Action, Drama, Thriller",1985,US,96
Mark of the Devil,02/12/24,"Horror, Drama, History, Thriller",1970,DE,96
Pitch Perfect 3,02/12/24,"Comedy, Music",2017,"US, CN",93
The Devil Inside,02/12/24,"Horror, Thriller",2012,US,83
Disquiet,02/12/24,Documentary,2023,GB,78
Malignant,02/12/24,"Horror, Mystery",2021,US,111
Talk to Me,02/12/24,Horror,2023,"AU, GB",95
The Grudge,02/12/24,"Horror, Mystery, Thriller",2004,US,92
Home for Rent,02/12/24,"Horror, Thriller, Mystery",2023,TH,124
Haunt,02/10/24,Horror,2014,US,86
Ted,02/10/24,"Comedy, Fantasy",2012,US,107
Vaathi,02/10/24,"Drama, Action",2023,IN,137
Kabir Singh,02/09/24,"Drama, Romance",2019,IN,172
Sarkar (Tamil),02/08/24,"Action, Drama",2018,IN,164
The Lost City,02/08/24,"Drama, Romance, History",2005,US,144
"Crazy, Stupid, Love.",02/08/24,"Comedy, Drama, Romance",2011,US,118
Forensic,29/01/24,"Crime, Thriller",2022,IN,129
Meenakshi Sundareshwar,29/01/24,"Romance, Drama",2021,IN,141
Mrs. Chatterjee vs Norway,28/01/24,"Drama, Thriller",2023,"EE, IN",135
Haseen Dillruba,24/01/24,"Mystery, Thriller, Crime, Romance",2021,IN,136
Kuroko's Basketball: Last Game,21/01/24,"Animation, Comedy",2017,JP,90
Salaar,20/01/24,"Action, Crime, Drama",2023,IN,175
Curry & Cyanide - The Jolly Joseph Case,20/01/24,"Documentary, Crime",2023,IN,95
